"iTunes Connect - Payments and Financial Reports	(June, 2023)",,,,,,,,,
,,,,,,,,,
Country or Region (Currency),Units Sold,Earned,Input Tax,Adjustments,Withholding Tax,Total Owed,Proceeds,Bank Account Currency,
"Canada (CAD)","3","22.92","0","0","0","22.92","17.32","USD",
"Switzerland (CHF)","5","29.19","0","0","0","29.19","32.51","USD",
"Denmark (DKK)","1","53.72","0","0","0","53.72","7.89","USD",
"Euro-Zone (EUR)","13","68.45","0","0","0","68.45","74.96","USD",
"United Kingdom (GBP)","2","7.04","0","0","0","7.04","8.89","USD",
"Indonesia (IDR)","1","37523.00","0","0","0","37523.00","2.51","USD",
"India (INR)","1","350.97","0","0","0","350.97","4.28","USD",
"Norway (NOK)","1","67.32","0","0","0","67.32","6.22","USD",
"Sweden (SEK)","1","80.92","0","0","0","80.92","7.49","USD",
"TÃ¼rkiye (TRY)","2","146.58","0","0","0","146.58","5.62","USD",
"Americas (USD)","10","50.90","0","0","0","50.90","50.90","USD",
,,,,,,,,,
,,,,,,,"218.59 USD",,
,,,,,,,Estimated Proceeds,,
,,,,,,,,,
,,,,,,,,,
Country or Region (Currency),Units Sold,Earned,Input Tax,Adjustments,Withholding Tax,Total Owed,Proceeds,Bank Account Currency,
"Australia (AUD)","0","0.00","0","0","0","0.00","0","USD",
"Russia (RUB)","0","0.00","0","0","0","0.00","0","USD",
,,,,,,,,,
,,,,,,,"0.00 USD",,
,,,,,,,Estimated Proceeds,,
,,,,,,,,,
,,,,,,,,,
